Club,Description,Category
AADOCR Student Research Group at the University of Washington,"Our student group is affiliated with the American Association for Dental, Oral, and Craniofacial Research, hereafter known as “AADOCR.” The goal of our organization is to promote student research in dentistry and its related disciplines.",Academic
Ability,Ability is a student group at the Allen School at UW dedicated to promoting disability community and accessibility awareness. Membership is open to any UW student interested in our mission.,Service/Volunteer
Academic and Recreational Graduate Oceanographers,"ARGO is a means for graduate students in the School of Oceanography to support one another and provide resources to further mental/physical health, educational, and career goals.",Academic
Academy of General Dentistry (AGD) Student Chapter at University of Washington School of Dentistry,"The purpose is to serve the needs and represent the interests of dental students, to further their educational needs and goals, to foster camaraderie among the members, and to encourage continued membership in the AGD.",Academic
Academy of Managed Care Pharmacy,To advance the quality and affordability of our health care system by promoting the application of medication-related research and education.,Academic
AcademyHealth Student Chapter at University of Washington,"A professional society for students interested in public health, health services research, and health policy. Connect with public health researchers & professionals, stay informed about latest news and developments, and network at conferences and events.",Professional Development
Access Student Resource Group,"The Access Student Resource Group (ASRG) has been formed to enhance the academic and social experience of Access students. For questions or comments, write to ASRG at asrg@uw.edu",Academic
ACGN Club at UW,"ACGN Club at UW is a community for UW ACGN fans to make friends, communicate, imagine and create things together, at the same time promoting ACGN culture.",Hobbies/Interest
Active Minds at the University of Washington,"In association with the national organization, Active Minds, we strive to promote mental health awareness and education through campaigns, fundraising, informational meetings, and community-wide events.",Academic
Acts2Fellowship,"College is better together. We're a Christian student group passionate about growing in faith, building deep friendships, and living out the gospel on campus.",Religious/Spiritual
Addiction Medicine Interest Group,"The Addiction Medicine Interest Group is an interest group at the University of Washington School of Medicine that provides opportunities for education and advocacy relating to substance use disorder, addiction medicine, and harm reduction.",Academic
Adelpos,To promote the faith of Christianity among young adults by encouraging the members to meditate on the word of God and have fellowship in Christ.,Religious/Spiritual
Advanced Robotics at the University of Washington,"We do not accept applications from this website (HuskyLink). For inquiries or to apply, please visit aruw.org. ARUW is a competitive robotics team of over 70 students designing, building, and programming robots for the RoboMaster competition.",Engineering/Tech
Advancing Husky Artistry,"Advancing Husky Artistry is a safe place for artists of all skill levels to connect! Through emphasis on portfolio building, connection making, and professional advancement, AHA aims to provide the resources to help artists achieve their goals.",Engineering/Tech
Adventist Christian Fellowship at University of Washington,To provide students with opportunities to engage in weekly spiritual fellowship and in robust conversation at the intersection of life and faith within an Adventist framework.,Religious/Spiritual
